120.221.238.56 assets.msn.cn
99.83.165.34 us-only.gcpp.cursor.sh
40.74.78.229 fd.api.iris.microsoft.com
47.103.24.173 bilibili.com
120.133.65.237 osfsr.lenovomm.com
218.93.129.146 oth.eve.mdt.qq.com
220.249.135.204 cdnfiles.52songshu.com
23.56.29.55 ocsp.entrust.net
106.39.192.142 ctldl.windowsupdate.com
183.204.195.222 slardar-bd.feishu.cn
52.183.220.149 settings-win.data.microsoft.com
23.202.35.138 www.msftconnecttest.com
23.55.179.16 ipv6.msftconnecttest.com
111.115.116.0 1.0.0.127.in-addr.arpa
20.119.0.23 cosmos-customer-webservice.azurewebsites.net
23.204.80.230 www.msftncsi.com
23.55.179.23 ipv6.msftncsi.com
